strain	phage	auc_mean	auc_sem	las
sen	-	34.5528	0.1706	0.0
sen	PRD1	8.3292	0.0379	75.8944
sen	aub	5.7392	0.0956	83.3902
sen	car	5.7937	0.1772	83.2324
sen	che	4.9118	0.0436	85.7846
sen	cob	14.609	0.1138	57.7198
sen	cri	8.4013	0.0487	75.6855
sen	haz	4.8408	0.0231	85.9901
sen	jet	5.1487	0.1068	85.0991
sen	mah	15.2388	0.3204	55.897
sen	mar	8.8367	0.071	74.4256
sen	obs	5.385	0.0687	84.4152
sen	sag	19.1225	0.5423	44.6572
sen	sca	5.6192	0.0434	83.7375
sen	tea	7.4543	0.1471	78.4263
sen	tur	5.0092	0.0906	85.5029
sen	ver	8.945	0.2511	74.1121
sen	win	4.3307	0.088	87.4665
sen	-	34.6413	0.2949	0.0
sen	avo	8.8267	0.0594	74.5198
sen	azu	18.9248	0.1845	45.3692
sen	cer	34.1187	0.1315	1.5088
sen	coc	8.0765	0.0583	76.6854
sen	eme	4.705	0.0873	86.418
sen	for	32.0593	0.2736	7.4535
sen	fuc	4.0772	0.0607	88.2303
sen	gra	6.244	0.0769	81.9753
sen	nav	5.1248	0.0398	85.206
sen	oli	4.689	0.0737	86.4641
sen	pea	11.239	0.1702	67.5561
sen	pin	13.0653	0.0355	62.284
sen	plu	7.1198	0.2579	79.447
sen	ros	4.981	0.0822	85.6212
sen	roy	4.9485	0.0238	85.715
sen	sep	5.2122	0.003	84.9539
sen	sky	24.379	0.1296	29.6245
sen	-	42.9912	0.9366	0.0
sen	amb	9.0668	0.1491	78.91
sen	aqu	6.0337	0.0389	85.9653
sen	asp	13.0697	0.7038	69.5992
sen	big	11.3225	0.5643	73.6632
sen	bri	9.0248	0.5188	79.0077
sen	can	11.6145	0.3362	72.984
sen	cha	6.5518	0.1149	84.76
sen	gol	9.424	0.4408	78.0792
sen	ind	10.7083	0.343	75.0918
sen	jun	13.7205	0.7083	68.0853
sen	mag	6.8787	0.2317	83.9998
sen	mam	31.2593	0.0361	27.2889
sen	min	36.404	0.6929	15.3221
sen	mus	11.2427	0.6416	73.8489
sen	pis	7.3307	0.121	82.9484
sen	rub	4.1588	0.0414	90.3263
sen	sha	5.2915	0.0581	87.6917
sen	sku	4.309	0.0907	89.977
ppu	-	48.3022	0.391	0.0
ppu	PRD1	28.573	0.3753	40.8453
ppu	aub	19.7223	0.5043	59.1688
ppu	car	0.2608	0.0415	99.46
ppu	che	18.6818	0.4825	61.323
ppu	cob	22.2398	0.2267	53.9569
ppu	cri	33.2068	0.9499	31.2519
ppu	haz	9.5075	0.1764	80.3166
ppu	jet	1.4112	0.117	97.0785
ppu	mah	13.7803	0.2831	71.4706
ppu	mar	13.1795	1.5632	72.7145
ppu	obs	2.0827	0.0899	95.6883
ppu	sag	24.2078	0.2884	49.8825
ppu	sca	0.7028	0.05	98.5449
ppu	tea	19.7493	0.9186	59.1129
ppu	tur	1.8308	0.0801	96.2096
ppu	ver	13.654	0.2953	71.7321
ppu	win	37.7193	0.5975	21.9096
ppu	-	52.2113	0.3425	0.0
ppu	avo	14.6603	1.038	71.9212
ppu	azu	20.3493	0.4747	61.0251
ppu	cer	14.1285	0.3324	72.9398
ppu	coc	24.5317	0.468	53.0147
ppu	eme	7.876	0.3869	84.9152
ppu	for	18.6513	0.4437	64.2772
ppu	fuc	5.3755	0.5483	89.7043
ppu	gra	20.9672	0.6586	59.8417
ppu	nav	8.9558	0.1181	82.847
ppu	oli	11.4622	1.0942	78.0466
ppu	pea	17.5243	1.2661	66.4358
ppu	pin	15.2967	0.211	70.7024
ppu	plu	9.6157	0.0878	81.5832
ppu	ros	26.6262	0.5564	49.0031
ppu	roy	8.9655	0.0522	82.8284
ppu	sep	13.0572	1.1315	74.9917
ppu	sky	28.4517	0.2344	45.5067
ppu	-	51.7187	0.0687	0.0
ppu	amb	0.1668	0.026	99.6774
ppu	aqu	14.8272	0.4848	71.3311
ppu	asp	9.3932	0.2479	81.838
ppu	big	24.4162	0.1461	52.7904
ppu	bri	32.4468	0.3106	37.2628
ppu	can	53.8013	0.5953	-4.0269
ppu	cha	44.8272	0.9267	13.325
ppu	gol	34.5907	0.5704	33.1176
ppu	ind	5.0445	0.3958	90.2463
ppu	jun	57.153	1.4932	-10.5075
ppu	mag	30.7975	0.4327	40.4519
ppu	mam	55.2933	0.6574	-6.9118
ppu	min	22.9068	0.8885	55.7088
ppu	mus	6.0942	0.0936	88.2167
ppu	pis	10.4127	0.0654	79.8667
ppu	rub	14.067	0.8052	72.8009
ppu	sha	13.2635	0.4983	74.3545
ppu	sku	11.0342	0.5139	78.665
eco	-	29.2027	0.136	0.0
eco	PRD1	30.8808	0.1305	-5.7466
eco	aub	27.2437	0.5187	6.7083
eco	car	30.3987	0.2803	-4.0955
eco	che	20.5882	0.5097	29.499
eco	cob	32.3095	0.3247	-10.6389
eco	cri	31.2245	0.5202	-6.9235
eco	haz	29.9817	0.3073	-2.6676
eco	jet	5.7743	0.0662	80.2267
eco	mah	33.1742	0.0575	-13.5998
eco	mar	30.9387	0.571	-5.9447
eco	obs	5.2785	0.2116	81.9246
eco	sag	28.087	0.4302	3.8204
eco	sca	5.2085	0.0794	82.1643
eco	tea	30.3708	0.1036	-4.0002
eco	tur	27.9537	0.1072	4.277
eco	ver	24.1373	0.281	17.3454
eco	win	28.4037	0.3984	2.7361
eco	-	30.8675	0.0892	0.0
