type	ord	name
phage	0	obs
phage	1	pis
phage	2	asp
phage	3	aqu
phage	4	win
phage	5	sep
phage	6	can
phage	7	fuc
phage	8	avo
phage	9	amb
phage	10	ros
phage	11	rub
phage	12	pin
phage	13	mus
phage	14	ver
phage	15	for
phage	16	gol
phage	17	sky
phage	18	cob
phage	19	pea
phage	20	haz
phage	21	che
phage	22	mam
phage	23	BCE1
phage	24	sku
phage	25	gra
phage	26	azu
phage	27	aub
phage	28	cer
phage	29	plu
phage	30	cha
phage	31	tea
phage	32	oli
phage	33	big
phage	34	PR4
phage	35	ind
phage	36	mag
phage	37	sag
phage	38	coc
phage	39	nav
phage	40	car
phage	41	bri
phage	42	mar
phage	43	sha
phage	44	jun
phage	45	min
phage	46	L17
phage	47	PR3
phage	48	PR772
phage	49	jet
phage	50	PR5
phage	51	PRD1
phage	52	sca
phage	53	cri
phage	54	roy
phage	55	eme
phage	56	tur
phage	57	mah
strain	0	sen
strain	1	eco
strain	2	cwk
strain	3	ecl
strain	4	kpn
strain	5	cfr
strain	6	sma
strain	7	eta
strain	8	pat
strain	9	pmir
strain	10	sone
strain	11	pfl
strain	12	ppu
strain	13	ppu2
strain	14	eco2
