name	group	nucl_type	old_name	source	reads	reference
PRD1	P	dsDNA	PRD1	Putonti Lab	1917052	PRD1
PRDemerald	P	dsDNA	SVO00503	Compost	521259	PRD1
PRDamber	P	dsDNA	NQO012enr01	Compost 2020	1308108	PRD1
PRDmagenta	P	dsDNA	SVO018	-	2198204	PRD1
PRDmustard	P	dsDNA	SVO019	-	1936421	PRD1
PRDgraphite	P	dsDNA	SVO01201	Compost 2020	1367877	PRD1
PRDruby	P	dsDNA	SVO01207	Compost 2020	1826916	PRD1
PRDindigo	P	dsDNA	77A6	Wastewater 2020-07-07	2608517	PRD1
PRDchartreuse	P	dsDNA	77B4	Wastewater 2020-07-07	1863572	PRD1
PRDmint	P	dsDNA	77B5	Wastewater 2020-07-07	1111886	PRD1
PRDcanary	P	dsDNA	77C1	Wastewater 2020-07-07	1854317	PRD1
PRDjuniper	P	dsDNA	77C11	Wastewater 2020-07-07	1763818	PRD1
PRDbrick	P	dsDNA	77E3	Wastewater 2020-07-07	1123226	PRD1
PRDgold	P	dsDNA	77F10	Wastewater 2020-07-07	1387901	PRD1
PRDpistachio	P	dsDNA	77H10	Wastewater 2020-07-07	839778	PRD1
PRDteal	P	dsDNA	714A1	Wastewater 2020-07-14	1207502	PRD1
PRDmaroon	P	dsDNA	714A2	Wastewater 2020-07-14	2582474	PRD1
PRDscarlet	P	dsDNA	714A4	Wastewater 2020-07-14	1794559	PRD1
PRDjet	P	dsDNA	714A5	Wastewater 2020-07-14	2211305	PRD1
PRDcerulean	P	dsDNA	714A6	Wastewater 2020-07-14	971514	PRD1
PRDturquoise	P	dsDNA	714A8	Wastewater 2020-07-14	1853667	PRD1
PRDsage	P	dsDNA	714A9	Wastewater 2020-07-14	1296111	PRD1
PRDhazel	P	dsDNA	714A10	Wastewater 2020-07-14	1661580	PRD1
PRDmahogany	P	dsDNA	714B1	Wastewater 2020-07-14	848506	PRD1
PRDcobalt	P	dsDNA	714A11	Wastewater 2020-07-14	760875	PRD1
PRDaubergine	P	dsDNA	714B2	Wastewater 2020-07-14	1785795	PRD1
PRDcarrot	P	dsDNA	714A12	Wastewater 2020-07-14	1734168	PRD1
PRDcherry	P	dsDNA	714B3	Wastewater 2020-07-14	1816115	PRD1
PRDvermilion	P	dsDNA	714B5	Wastewater 2020-07-14	2135521	PRD1
PRDobsidian	P	dsDNA	714B6	Wastewater 2020-07-14	881075	PRD1
PRDwine	P	dsDNA	714B7	Wastewater 2020-07-14	1615043	PRD1
PRDcrimson	P	dsDNA	714B8	Wastewater 2020-07-14	1485722	PRD1
PRDforest	P	dsDNA	714B9	Wastewater 2020-07-14	1343029	PRD1
PRDolive	P	dsDNA	714B10	Wastewater 2020-07-14	204591	PRD1
PRDfuchsia	P	dsDNA	714B11	Wastewater 2020-07-14	1120378	PRD1
PRDsepia	P	dsDNA	714B12	Wastewater 2020-07-14	1584118	PRD1
PRDpeacock	P	dsDNA	714C1	Wastewater 2020-07-14	1270810	PRD1
PRDplum	P	dsDNA	714C2	Wastewater 2020-07-14	1297939	PRD1
PRDsky	P	dsDNA	714C3	Wastewater 2020-07-14	1307175	PRD1
PRDrose	P	dsDNA	714C4	Wastewater 2020-07-14	1326493	PRD1
PRDroyal	P	dsDNA	714C5	Wastewater 2020-07-14	1070061	PRD1
PRDpine	P	dsDNA	714C7	Wastewater 2020-07-14	1307367	PRD1
PRDazure	P	dsDNA	714C8	Wastewater 2020-07-14	1080998	PRD1
PRDcochinilla	P	dsDNA	714C9	Wastewater 2020-07-14	1466865	PRD1
PRDnavy	P	dsDNA	714C10	Wastewater 2020-07-14	1646631	PRD1
PRDavocado	P	dsDNA	714C11	Wastewater 2020-07-14	1143818	PRD1
PRDbigpapi	P	dsDNA	BigPapi	River water	1707258	PRD1
PRDasparagus	P	dsDNA	JB001	Compost 2020	2153566	PRD1
PRDaquamarine	P	dsDNA	JB003	Compost 2020	966986	PRD1
FrMerlot	F	RNA	MWWC_S7_L001	Wastewater 2021-08-05	275556	Qbeta
FrSangria	F	RNA	MWWE_S8_L001	Wastewater 2021-08-05	643006	Qbeta
FrBlood	F	RNA	MM4A_S3_L001	Animal waste 2021-08-04	130288	MS2
FrHenna	F	RNA	MM4C_S4_L001	Animal waste 2021-08-04	270025	MS2
FrBurgundy	F	RNA	DIN-AChonk_S3_L001	Wastewater 2022-05-27	133273	Qbeta
FrHibiscus	F	RNA	DIS-B_S2_L001	Wastewater 2022-05-27	141483	Qbeta
FrSaffron	F	RNA	AF05_S6_L001	Water with animal waste 2022-06-27	132738	MS2
FfViolet	F	ssDNA	LMM001B_S11_L001	River water 2021-06-23	10281	M13
FfLilac	F	ssDNA	DIN-A_S10_L001	Wastewater 2022-05-27	288750	M13
FfLavender	F	ssDNA	DIS-C_S13_L001	Wastewater 2022-05-27	104620	M13
FfIris	F	ssDNA	DIS-D_S14_L001	Wastewater 2022-05-27	80119	M13
FfAmethyst	F	ssDNA	DIS5B_S16_L001	Wastewater 2022-05-27	102988	M13
FtMidnight	F	dsDNA	MM9A_S20_L001	Compost 2021-08-04	58614	FtMidnight
PRDskutterchuck	P	dsDNA	CPWWP-HTF	-	77891	PRD1
PRDmamacita	P	dsDNA	HT-CLEO-1	-	70569	PRD1
PRDshaddybee	P	dsDNA	OD1-HTF	-	22661	PRD1
