#                                                                   --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name            accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#    ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Ga0500032_0002123_orf25  -          IX.2                 -            2.6e-64  212.4   0.0   3.1e-64  212.1   0.0   1.1   1   0   0   1   1   1   1 -
Ga0500012_004241_orf8    -          IX.2                 -            3.3e-62  205.5   0.0     4e-62  205.2   0.0   1.1   1   0   0   1   1   1   1 -
Ga0500013_005094_orf3    -          IX.2                 -            3.3e-62  205.5   0.0     4e-62  205.2   0.0   1.1   1   0   0   1   1   1   1 -
Ga0500011_004634_orf6    -          IX.2                 -            3.4e-62  205.4   0.0   4.2e-62  205.2   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00334178_orf7  -          IX.2                 -            1.2e-60  200.4   0.0   1.4e-60  200.2   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00078677_orf19 -          IX.2                 -            2.9e-60  199.1   0.0   3.4e-60  198.9   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00937364_orf10 -          IX.2                 -            3.2e-59  195.8   0.1   3.7e-59  195.6   0.1   1.0   1   0   0   1   1   1   1 -
Ga0505706_00138351_orf7  -          IX.2                 -            4.5e-59  195.3   0.0   5.2e-59  195.1   0.0   1.0   1   0   0   1   1   1   1 -
Ga0500009_001431_orf17   -          IX.2                 -            7.2e-59  194.6   0.0   8.3e-59  194.4   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00117367_orf27 -          IX.2                 -              7e-58  191.4   0.0   8.1e-58  191.2   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00067931_orf17 -          IX.2                 -            1.1e-57  190.8   0.0   1.3e-57  190.5   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00373652_orf3  -          IX.2                 -            8.9e-56  184.5   0.0     1e-55  184.3   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00087319_orf17 -          IX.2                 -            1.5e-55  183.8   0.0   1.8e-55  183.5   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00093977_orf22 -          IX.2                 -            2.9e-52  173.0   0.0   3.3e-52  172.9   0.0   1.0   1   0   0   1   1   1   1 -
Ga0501157_006299_orf10   -          IX.2                 -            4.5e-52  172.4   0.0   5.2e-52  172.2   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00127399_orf15 -          IX.2                 -            5.6e-51  168.8   0.0   6.5e-51  168.6   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00969868_orf12 -          IX.2                 -            2.9e-50  166.5   0.0   3.2e-50  166.4   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00231171_orf4  -          IX.2                 -            1.7e-49  164.0   0.0   2.1e-49  163.7   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00084197_orf8  -          IX.2                 -            4.5e-49  162.6   0.0   5.5e-49  162.3   0.0   1.1   1   0   0   1   1   1   1 -
Ga0500005_002616_orf23   -          IX.2                 -              4e-48  159.5   0.0   4.7e-48  159.3   0.0   1.0   1   0   0   1   1   1   1 -
Ga0500006_002682_orf14   -          IX.2                 -              4e-48  159.5   0.0   4.7e-48  159.3   0.0   1.0   1   0   0   1   1   1   1 -
Ga0500017_0003996_orf26  -          IX.2                 -              4e-48  159.5   0.0   4.7e-48  159.3   0.0   1.0   1   0   0   1   1   1   1 -
Ga0500018_001608_orf22   -          IX.2                 -              4e-48  159.5   0.0   4.7e-48  159.3   0.0   1.0   1   0   0   1   1   1   1 -
Ga0500030_003738_orf9    -          IX.2                 -              4e-48  159.5   0.0   4.7e-48  159.3   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00098891_orf20 -          IX.2                 -            9.2e-46  151.8   0.0   1.1e-45  151.6   0.0   1.1   1   0   0   1   1   1   1 -
Ga0500006_012856_orf4    -          IX.2                 -            1.7e-45  150.9   0.0     2e-45  150.7   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00072834_orf23 -          IX.2                 -            1.4e-44  148.0   0.0   1.6e-44  147.7   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00084834_orf16 -          IX.2                 -            3.7e-44  146.6   0.0   4.4e-44  146.4   0.0   1.0   1   0   0   1   1   1   1 -
Ga0500022_006983_orf7    -          IX.2                 -            9.4e-43  142.0   0.0   1.1e-42  141.8   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00344671_orf11 -          IX.2                 -              6e-42  139.4   0.0   6.9e-42  139.2   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00153685_orf21 -          IX.2                 -            9.5e-42  138.7   0.0   1.2e-41  138.4   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00137823_orf11 -          IX.2                 -            1.3e-41  138.3   0.0   1.6e-41  138.0   0.0   1.1   1   0   0   1   1   1   1 -
Ga0500022_002121_orf21   -          IX.2                 -            9.8e-41  135.4   0.0   1.2e-40  135.2   0.0   1.1   1   0   0   1   1   1   1 -
Ga0505706_00075008_orf9  -          IX.2                 -            3.2e-40  133.7   0.0   3.7e-40  133.5   0.0   1.0   1   0   0   1   1   1   1 -
