#                                                                   --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name            accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#    ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Ga0505706_00969868_orf10 -          gpi                  -            1.7e-14   49.0   0.6   1.9e-14   48.9   0.6   1.0   1   0   0   1   1   1   1 -
Ga0500032_0002123_orf24  -          gpi                  -            1.9e-13   45.7   2.9     2e-13   45.6   2.9   1.0   1   0   0   1   1   1   1 -
Ga0505706_00075641_orf12 -          gpi                  -            3.6e-13   44.8   2.6   4.2e-13   44.6   2.6   1.1   1   0   0   1   1   1   1 -
Ga0505706_00084197_orf9  -          gpi                  -            3.9e-13   44.7   0.2   3.9e-13   44.7   0.2   1.1   1   0   0   1   1   1   1 -
Ga0505706_00087319_orf18 -          gpi                  -            1.8e-12   42.6   7.8   2.2e-12   42.3   7.8   1.1   1   0   0   1   1   1   1 -
Ga0505706_00075008_orf10 -          gpi                  -            2.2e-12   42.3   1.5   2.4e-12   42.2   1.5   1.1   1   0   0   1   1   1   1 -
Ga0505706_00344671_orf10 -          gpi                  -            7.8e-12   40.5   5.6   8.4e-12   40.4   5.6   1.1   1   0   0   1   1   1   1 -
Ga0505706_00127399_orf14 -          gpi                  -            8.4e-12   40.4   8.6   9.5e-12   40.3   8.6   1.3   1   1   0   1   1   1   1 -
Ga0505706_00937364_orf8  -          gpi                  -            1.6e-11   39.5   0.8   1.7e-11   39.4   0.8   1.0   1   0   0   1   1   1   1 -
Ga0505706_00137823_orf10 -          gpi                  -            1.8e-11   39.3   0.7     2e-11   39.2   0.7   1.1   1   0   0   1   1   1   1 -
Ga0505706_00078677_orf20 -          gpi                  -            2.2e-11   39.1   2.6   2.5e-11   38.9   2.6   1.1   1   0   0   1   1   1   1 -
Ga0505706_01001969_orf1  -          gpi                  -            3.1e-11   38.6   5.2   3.3e-11   38.5   5.2   1.1   1   0   0   1   1   1   1 -
Ga0505706_00117367_orf9  -          gpi                  -            7.1e-11   37.5   3.4   7.7e-11   37.3   3.4   1.1   1   0   0   1   1   1   1 -
Ga0500011_004634_orf7    -          gpi                  -            3.7e-10   35.2   3.5   3.8e-10   35.1   3.5   1.1   1   0   0   1   1   1   1 -
Ga0500012_004241_orf7    -          gpi                  -            3.7e-10   35.2   3.5   3.8e-10   35.1   3.5   1.1   1   0   0   1   1   1   1 -
Ga0500013_005094_orf4    -          gpi                  -            3.7e-10   35.2   3.5   3.8e-10   35.1   3.5   1.1   1   0   0   1   1   1   1 -
Ga0505706_00138351_orf8  -          gpi                  -            1.7e-08   29.8   0.2   1.7e-08   29.8   0.2   1.1   1   0   0   1   1   1   1 -
Ga0500006_012856_orf3    -          gpi                  -            1.8e-08   29.7   0.1   1.9e-08   29.7   0.1   1.0   1   0   0   1   1   1   1 -
Ga0505706_00373652_orf4  -          gpi                  -            7.2e-08   27.8   1.5   7.6e-08   27.8   1.5   1.2   1   0   0   1   1   1   1 -
Ga0505706_00231171_orf5  -          gpi                  -            3.7e-07   25.6   1.9   3.8e-07   25.5   1.9   1.2   1   0   0   1   1   1   1 -
Ga0505706_00072834_orf22 -          gpi                  -            8.8e-07   24.4   0.2     1e-06   24.1   0.2   1.1   1   0   0   1   1   1   1 -
Ga0505706_00093977_orf21 -          gpi                  -            1.6e-06   23.5   4.1     2e-06   23.2   4.1   1.3   1   1   0   1   1   1   1 -
Ga0505706_00098891_orf19 -          gpi                  -            3.2e-06   22.5   0.2   4.7e-06   22.0   0.2   1.2   1   0   0   1   1   1   1 -
Ga0505706_00138351_orf9  -          gpi                  -            1.9e-05   20.1   4.9   3.5e-05   19.2   4.9   1.5   1   1   0   1   1   1   1 -
Ga0500009_001431_orf18   -          gpi                  -            2.6e-05   19.6   2.5   3.7e-05   19.2   2.5   1.3   1   0   0   1   1   1   1 -
Ga0500022_002121_orf20   -          gpi                  -            2.8e-05   19.5   0.0   3.3e-05   19.3   0.0   1.1   1   0   0   1   1   1   1 -
Ga0500006_002682_orf15   -          gpi                  -            0.00013   17.4   0.6   0.00018   17.0   0.6   1.1   1   0   0   1   1   1   1 -
Ga0500017_0003996_orf25  -          gpi                  -            0.00013   17.4   0.6   0.00018   17.0   0.6   1.1   1   0   0   1   1   1   1 -
Ga0500018_001608_orf21   -          gpi                  -            0.00013   17.4   0.6   0.00018   17.0   0.6   1.1   1   0   0   1   1   1   1 -
Ga0500030_003738_orf10   -          gpi                  -            0.00013   17.4   0.6   0.00018   17.0   0.6   1.1   1   0   0   1   1   1   1 -
Ga0501157_006299_orf9    -          gpi                  -            0.00016   17.1   0.1   0.00018   17.0   0.1   1.2   1   0   0   1   1   1   1 -
Ga0505706_00231171_orf6  -          gpi                  -             0.0011   14.4   1.1    0.0014   14.1   1.1   1.1   1   0   0   1   1   1   1 -
Ga0505706_00153685_orf20 -          gpi                  -             0.0012   14.3   5.3     0.004   12.6   5.3   1.8   1   1   0   1   1   1   1 -
Ga0505706_01001969_orf9  -          gpi                  -              0.042    9.4   3.3      0.09    8.3   3.3   1.5   1   1   0   1   1   1   0 -
Ga0505706_00078677_orf21 -          gpi                  -               0.06    8.9   5.1     0.095    8.3   5.1   1.3   1   1   0   1   1   1   0 -
Ga0505706_00334178_orf13 -          gpq                  -            0.00053   15.6   0.1   0.00062   15.4   0.1   1.1   1   0   0   1   1   1   1 -
Ga0500009_001431_orf22  -          gpx                  -              1e-05   21.1   0.9   1.3e-05   20.9   0.9   1.1   1   0   0   1   1   1   1 -
Ga0505706_00231171_orf9 -          gpx                  -            0.00066   15.3   1.8   0.00099   14.8   1.8   1.2   1   0   0   1   1   1   1 -
Ga0500032_0002123_orf33  -          I                    -           3.1e-154  510.8   3.4  7.9e-151  499.5   3.4   2.0   1   1   1   2   2   2   2 -
Ga0505706_00127399_orf20 -          I                    -           4.1e-145  480.7   9.3  1.4e-141  469.0   8.9   2.0   1   1   1   2   2   2   2 -
Ga0500009_001431_orf9    -          I                    -           3.7e-126  418.1   0.0  4.7e-126  417.8   0.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_00084197_orf4  -          I                    -           5.8e-114  377.9   3.9  1.7e-112  373.0   3.9   2.2   1   1   0   1   1   1   1 -
Ga0500022_006983_orf13   -          I                    -            1.2e-84  281.2   0.5   1.4e-83  277.6   0.2   1.9   1   1   1   2   2   2   2 -
Ga0505706_00093977_orf27 -          I                    -            7.9e-76  252.0   5.1   8.3e-64  212.3   3.0   2.4   2   1   1   3   3   3   2 -
Ga0505706_00138351_orf1  -          I                    -            3.6e-67  223.4   2.2   4.5e-67  223.1   2.2   1.0   1   0   0   1   1   1   1 -
Ga0500005_002616_orf31   -          I                    -              1e-05   20.5   0.0    0.0032   12.3   0.0   2.5   2   1   1   3   3   3   2 -
Ga0500006_002682_orf7    -          I                    -              1e-05   20.5   0.0    0.0032   12.3   0.0   2.5   2   1   1   3   3   3   2 -
Ga0500018_001608_orf30   -          I                    -              1e-05   20.5   0.0    0.0032   12.3   0.0   2.5   2   1   1   3   3   3   2 -
Ga0500030_003738_orf2    -          I                    -              1e-05   20.5   0.0    0.0032   12.3   0.0   2.5   2   1   1   3   3   3   2 -
Ga0500022_002121_orf28   -          I                    -            1.3e-05   20.2   0.0     0.015   10.1   0.0   2.2   2   0   0   2   2   2   2 -
Ga0505706_00075008_orf4  -          I                    -             0.0023   12.8   0.0    0.0035   12.2   0.0   1.2   1   0   0   1   1   1   1 -
Ga0505706_00067931_orf26 -          I                    -              0.012   10.4   0.0     0.034    8.9   0.0   1.7   2   0   0   2   2   2   0 -
Ga0505706_00078677_orf22 -          III                  -            6.4e-85  281.1  16.9   7.6e-85  280.9  16.9   1.0   1   0   0   1   1   1   1 -
Ga0505706_00969868_orf8  -          III                  -            1.2e-84  280.3  12.9   1.4e-84  280.0  12.9   1.0   1   0   0   1   1   1   1 -
Ga0505706_00093977_orf19 -          III                  -            1.1e-83  277.1  17.9   1.4e-83  276.7  17.9   1.0   1   0   0   1   1   1   1 -
Ga0500011_004634_orf9    -          III                  -            1.8e-83  276.4  13.7   2.1e-83  276.1  13.7   1.0   1   0   0   1   1   1   1 -
Ga0500012_004241_orf5    -          III                  -            1.8e-83  276.4  13.7   2.1e-83  276.1  13.7   1.0   1   0   0   1   1   1   1 -
Ga0500013_005094_orf6    -          III                  -            1.8e-83  276.4  13.7   2.1e-83  276.1  13.7   1.0   1   0   0   1   1   1   1 -
Ga0501157_006299_orf7    -          III                  -            2.8e-83  275.7  12.1   3.4e-83  275.4  12.1   1.0   1   0   0   1   1   1   1 -
Ga0505706_00075641_orf15 -          III                  -            4.8e-83  274.9   7.0   5.8e-83  274.7   7.0   1.0   1   0   0   1   1   1   1 -
Ga0500022_002121_orf19   -          III                  -            1.5e-79  263.4  14.8   1.9e-79  263.1  14.8   1.0   1   0   0   1   1   1   1 -
Ga0505706_00937364_orf6  -          III                  -            1.6e-79  263.4  11.5   1.9e-79  263.1  11.5   1.0   1   0   0   1   1   1   1 -
Ga0505706_00117367_orf12 -          III                  -            4.8e-79  261.8   7.9   5.9e-79  261.5   7.9   1.0   1   0   0   1   1   1   1 -
Ga0505706_00373652_orf6  -          III                  -            3.1e-77  255.8  10.4   3.8e-77  255.5  10.4   1.0   1   0   0   1   1   1   1 -
Ga0505706_00138351_orf10 -          III                  -            2.2e-75  249.7  20.7     3e-75  249.3  20.7   1.0   1   0   0   1   1   1   1 -
Ga0505706_00231171_orf7  -          III                  -            2.4e-75  249.6  16.2   2.8e-75  249.4  16.2   1.0   1   0   0   1   1   1   1 -
Ga0500009_001431_orf20   -          III                  -            1.1e-72  240.8  18.0   1.4e-72  240.5  18.0   1.0   1   0   0   1   1   1   1 -
Ga0505706_01001969_orf3  -          III                  -            7.1e-72  238.2  12.6     1e-71  237.7  12.6   1.2   1   0   0   1   1   1   1 -
Ga0505706_00067931_orf14 -          III                  -            2.5e-70  233.1  16.8   3.5e-69  229.3  16.8   1.9   1   1   0   1   1   1   1 -
Ga0500032_0002123_orf22  -          III                  -            3.3e-69  229.4  19.4   3.2e-68  226.1  19.4   1.9   1   1   0   1   1   1   1 -
Ga0505706_00153685_orf18 -          III                  -            9.4e-69  227.9  13.6   1.2e-68  227.6  13.6   1.0   1   0   0   1   1   1   1 -
Ga0505706_00334178_orf11 -          III                  -            7.1e-67  221.7  14.6   1.6e-65  217.3  14.6   2.0   1   1   0   1   1   1   1 -
Ga0500005_002616_orf22   -          III                  -            5.7e-66  218.7   9.3   6.9e-66  218.4   9.3   1.0   1   0   0   1   1   1   1 -
Ga0500006_002682_orf17   -          III                  -            5.7e-66  218.7   9.3   6.9e-66  218.4   9.3   1.0   1   0   0   1   1   1   1 -
Ga0500017_0003996_orf23  -          III                  -            5.7e-66  218.7   9.3   6.9e-66  218.4   9.3   1.0   1   0   0   1   1   1   1 -
Ga0500018_001608_orf19   -          III                  -            5.7e-66  218.7   9.3   6.9e-66  218.4   9.3   1.0   1   0   0   1   1   1   1 -
Ga0500030_003738_orf12   -          III                  -            5.7e-66  218.7   9.3   6.9e-66  218.4   9.3   1.0   1   0   0   1   1   1   1 -
Ga0505706_00332338_orf17 -          III                  -            3.1e-63  209.7   8.9   3.7e-63  209.5   8.9   1.1   1   0   0   1   1   1   1 -
Ga0505706_00127399_orf12 -          III                  -            4.3e-62  205.9  14.3   5.7e-62  205.6  14.3   1.0   1   0   0   1   1   1   1 -
Ga0505706_00072834_orf20 -          III                  -            5.8e-58  192.4   4.9   7.4e-58  192.0   4.9   1.1   1   0   0   1   1   1   1 -
Ga0505706_00137823_orf8  -          III                  -            1.7e-57  190.8   9.7   2.1e-57  190.5   9.7   1.0   1   0   0   1   1   1   1 -
Ga0505706_00098891_orf17 -          III                  -            2.9e-57  190.1   6.8   3.5e-57  189.8   6.8   1.0   1   0   0   1   1   1   1 -
Ga0505706_00344671_orf7  -          III                  -            5.5e-57  189.1   5.6   6.6e-57  188.9   5.6   1.0   1   0   0   1   1   1   1 -
Ga0505706_00087319_orf20 -          III                  -            1.9e-56  187.4  10.3   2.8e-56  186.8  10.3   1.2   1   0   0   1   1   1   1 -
Ga0505706_00084834_orf13 -          III                  -            3.6e-56  186.4   2.4   4.3e-56  186.2   2.4   1.0   1   0   0   1   1   1   1 -
Ga0500022_006983_orf4    -          III                  -              9e-56  185.1  11.7     1e-55  185.0  11.7   1.0   1   0   0   1   1   1   1 -
Ga0505706_00075008_orf12 -          III                  -            2.5e-55  183.7  10.1     3e-55  183.4  10.1   1.0   1   0   0   1   1   1   1 -
Ga0505706_00425488_orf10 -          III                  -            2.3e-52  173.9   4.2     3e-52  173.6   4.2   1.0   1   0   0   1   1   1   1 -
Ga0505706_00084197_orf11 -          III                  -            2.7e-52  173.7  18.0   2.2e-51  170.7  18.0   1.9   1   1   0   1   1   1   1 -
Ga0500006_012856_orf1    -          III                  -            2.4e-50  167.3   2.6   2.9e-50  167.0   2.6   1.0   1   0   0   1   1   1   1 -
