acc	environment	len
LNFM01013825.1	Activated carbon metagenome	10153
FRDC01003407.1	freshwater metagenome	17409
LNFM01009513.1	Activated carbon metagenome	14103
JRYJ01001167.1	"Activated sludge metagenome "	17872
