chrom	start	end	NucDiv	Middle
NC_001421.2	0	50	0.0162061	25.0
NC_001421.2	50	100	0.031755	75.0
NC_001421.2	100	150	0.063301	125.0
NC_001421.2	150	200	0.0544137	175.0
NC_001421.2	200	250	0.0473488	225.0
NC_001421.2	250	300	0.0398506	275.0
NC_001421.2	300	350	0.0642718	325.0
NC_001421.2	350	400	0.088932	375.0
NC_001421.2	400	450	0.0745482	425.0
NC_001421.2	450	500	0.0576251	475.0
NC_001421.2	500	550	0.0336072	525.0
NC_001421.2	550	600	0.0733682	575.0
NC_001421.2	600	650	0.0283943	625.0
NC_001421.2	650	700	0.0287528	675.0
NC_001421.2	700	750	0.0559671	725.0
NC_001421.2	750	800	0.0582226	775.0
NC_001421.2	800	850	0.0233607	825.0
NC_001421.2	850	900	0.0492756	875.0
NC_001421.2	900	950	0.0539507	925.0
NC_001421.2	950	1000	0.0602539	975.0
NC_001421.2	1000	1050	0.055773	1025.0
NC_001421.2	1050	1100	0.0728603	1075.0
NC_001421.2	1100	1150	0.0423898	1125.0
NC_001421.2	1150	1200	0.0634503	1175.0
NC_001421.2	1200	1250	0.0689022	1225.0
NC_001421.2	1250	1300	0.0336072	1275.0
NC_001421.2	1300	1350	0.0612845	1325.0
NC_001421.2	1350	1400	0.0613443	1375.0
NC_001421.2	1400	1450	0.0818671	1425.0
NC_001421.2	1450	1500	0.0512024	1475.0
NC_001421.2	1500	1550	0.0436146	1525.0
NC_001421.2	1550	1600	0.0363107	1575.0
NC_001421.2	1600	1650	0.0913667	1625.0
NC_001421.2	1650	1700	0.0897984	1675.0
NC_001421.2	1700	1750	0.0856161	1725.0
NC_001421.2	1750	1800	0.0912771	1775.0
NC_001421.2	1800	1850	0.132562	1825.0
NC_001421.2	1850	1900	0.089888	1875.0
NC_001421.2	1900	1950	0.172905	1925.0
NC_001421.2	1950	2000	0.115534	1975.0
NC_001421.2	2000	2050	0.0612248	2025.0
NC_001421.2	2050	2100	0.0270202	2075.0
NC_001421.2	2100	2150	0.0548768	2125.0
NC_001421.2	2150	2200	0.0700373	2175.0
NC_001421.2	2200	2250	0.0808962	2225.0
NC_001421.2	2250	2300	0.0580732	2275.0
NC_001421.2	2300	2350	0.12224	2325.0
NC_001421.2	2350	2400	0.0818969	2375.0
NC_001421.2	2400	2450	0.0800149	2425.0
NC_001421.2	2450	2500	0.100329	2475.0
NC_001421.2	2500	2550	0.148424	2525.0
NC_001421.2	2550	2600	0.134444	2575.0
NC_001421.2	2600	2650	0.106557	2625.0
NC_001421.2	2650	2700	0.0494399	2675.0
NC_001421.2	2700	2750	0.0465123	2725.0
NC_001421.2	2750	2800	0.0461837	2775.0
NC_001421.2	2800	2850	0.0466019	2825.0
NC_001421.2	2850	2900	0.0240329	2875.0
NC_001421.2	2900	2950	0.0891412	2925.0
NC_001421.2	2950	3000	0.0865571	2975.0
NC_001421.2	3000	3050	0.0372218	3025.0
NC_001421.2	3050	3100	0.0274533	3075.0
NC_001421.2	3100	3150	0.0307842	3125.0
NC_001421.2	3150	3200	0.0772069	3175.0
NC_001421.2	3200	3250	0.0600299	3225.0
NC_001421.2	3250	3300	0.0920388	3275.0
NC_001421.2	3300	3350	0.0847349	3325.0
NC_001421.2	3350	3400	0.0562808	3375.0
NC_001421.2	3400	3450	0.106273	3425.0
NC_001421.2	3450	3500	0.105407	3475.0
NC_001421.2	3500	3550	0.0706497	3525.0
NC_001421.2	3550	3600	0.0240478	3575.0
NC_001421.2	3600	3650	0.0654966	3625.0
NC_001421.2	3650	3700	0.10814	3675.0
NC_001421.2	3700	3750	0.0606871	3725.0
NC_001421.2	3750	3800	0.0619268	3775.0
NC_001421.2	3800	3850	0.0826736	3825.0
NC_001421.2	3850	3900	0.0321434	3875.0
NC_001421.2	3900	3950	0.0475131	3925.0
NC_001421.2	3950	4000	0.0523226	3975.0
NC_001421.2	4000	4050	0.0339656	4025.0
NC_001421.2	4050	4100	0.0656908	4075.0
NC_001421.2	4100	4150	0.077177	4125.0
NC_001421.2	4150	4200	0.156774	4175.0
NC_001421.2	4200	4250	0.140269	4225.0
NC_001421.2	4250	4300	0.0791785	4275.0
NC_001421.2	4300	4350	0.0834653	4325.0
NC_001421.2	4350	4400	0.0828379	4375.0
NC_001421.2	4400	4450	0.0559223	4425.0
NC_001421.2	4450	4500	0.0531292	4475.0
NC_001421.2	4500	4550	0.1246	4525.0
NC_001421.2	4550	4600	0.0893801	4575.0
NC_001421.2	4600	4650	0.0871397	4625.0
NC_001421.2	4650	4700	0.062345	4675.0
NC_001421.2	4700	4750	0.0805527	4725.0
NC_001421.2	4750	4800	0.101763	4775.0
NC_001421.2	4800	4850	0.0182674	4825.0
NC_001421.2	4850	4900	0.0197461	4875.0
NC_001421.2	4900	4950	0.0343241	4925.0
NC_001421.2	4950	5000	0.0195668	4975.0
NC_001421.2	5000	5050	0.101329	5025.0
NC_001421.2	5050	5100	0.0400896	5075.0
NC_001421.2	5100	5150	0.0515161	5125.0
NC_001421.2	5150	5200	0.0448245	5175.0
NC_001421.2	5200	5250	0.0502913	5225.0
NC_001421.2	5250	5300	0.0193727	5275.0
NC_001421.2	5300	5350	0.0388947	5325.0
NC_001421.2	5350	5400	0.0584466	5375.0
NC_001421.2	5400	5450	0.0340403	5425.0
NC_001421.2	5450	5500	0.0386557	5475.0
NC_001421.2	5500	5550	0.0337864	5525.0
NC_001421.2	5550	5600	0.0375504	5575.0
NC_001421.2	5600	5650	0.0161016	5625.0
NC_001421.2	5650	5700	0.052233	5675.0
NC_001421.2	5700	5750	0.0361016	5725.0
NC_001421.2	5750	5800	0.0619119	5775.0
NC_001421.2	5800	5850	0.061643	5825.0
NC_001421.2	5850	5900	0.0936819	5875.0
NC_001421.2	5900	5950	0.120612	5925.0
NC_001421.2	5950	6000	0.0986109	5975.0
NC_001421.2	6000	6050	0.120777	6025.0
NC_001421.2	6050	6100	0.0589694	6075.0
NC_001421.2	6100	6150	0.113996	6125.0
NC_001421.2	6150	6200	0.0817326	6175.0
NC_001421.2	6200	6250	0.0201195	6225.0
NC_001421.2	6250	6300	0.0778641	6275.0
NC_001421.2	6300	6350	0.0393129	6325.0
NC_001421.2	6350	6400	0.0463331	6375.0
NC_001421.2	6400	6450	0.057879	6425.0
NC_001421.2	6450	6500	0.0775803	6475.0
NC_001421.2	6500	6550	0.0800299	6525.0
NC_001421.2	6550	6600	0.0306049	6575.0
NC_001421.2	6600	6650	0.0325467	6625.0
NC_001421.2	6650	6700	0.0770575	6675.0
NC_001421.2	6700	6750	0.102076	6725.0
NC_001421.2	6750	6800	0.107214	6775.0
NC_001421.2	6800	6850	0.130485	6825.0
NC_001421.2	6850	6900	0.0899627	6875.0
NC_001421.2	6900	6950	0.111441	6925.0
NC_001421.2	6950	7000	0.0485288	6975.0
NC_001421.2	7000	7050	0.0103211	7025.0
NC_001421.2	7050	7100	0.0618671	7075.0
NC_001421.2	7100	7150	0.0324122	7125.0
NC_001421.2	7150	7200	0.0223301	7175.0
NC_001421.2	7200	7250	0.0497685	7225.0
NC_001421.2	7250	7300	0.0461688	7275.0
NC_001421.2	7300	7350	0.0841673	7325.0
NC_001421.2	7350	7400	0.0434205	7375.0
NC_001421.2	7400	7450	0.0625541	7425.0
NC_001421.2	7450	7500	0.0862136	7475.0
NC_001421.2	7500	7550	0.0800747	7525.0
NC_001421.2	7550	7600	0.0492606	7575.0
NC_001421.2	7600	7650	0.0791187	7625.0
NC_001421.2	7650	7700	0.0674085	7675.0
NC_001421.2	7700	7750	0.00525765	7725.0
NC_001421.2	7750	7800	0.0319492	7775.0
NC_001421.2	7800	7850	0.0462733	7825.0
NC_001421.2	7850	7900	0.0159223	7875.0
NC_001421.2	7900	7950	0.0248992	7925.0
NC_001421.2	7950	8000	0.0472442	7975.0
NC_001421.2	8000	8050	0.0320687	8025.0
NC_001421.2	8050	8100	0.0182524	8075.0
NC_001421.2	8100	8150	0.029186	8125.0
NC_001421.2	8150	8200	0.0803883	8175.0
NC_001421.2	8200	8250	0.0169679	8225.0
NC_001421.2	8250	8300	0.0283645	8275.0
NC_001421.2	8300	8350	0.00637789	8325.0
NC_001421.2	8350	8400	0.0101568	8375.0
NC_001421.2	8400	8450	0.0225392	8425.0
NC_001421.2	8450	8500	0.0135026	8475.0
NC_001421.2	8500	8550	0.00806572	8525.0
NC_001421.2	8550	8600	0.0115907	8575.0
NC_001421.2	8600	8650	0.0664974	8625.0
NC_001421.2	8650	8700	0.0354444	8675.0
NC_001421.2	8700	8750	0.0347872	8725.0
NC_001421.2	8750	8800	0.020239	8775.0
NC_001421.2	8800	8850	0.0566243	8825.0
NC_001421.2	8850	8900	0.046124	8875.0
NC_001421.2	8900	8950	0.0210904	8925.0
NC_001421.2	8950	9000	0.0369828	8975.0
NC_001421.2	9000	9050	0.0331143	9025.0
NC_001421.2	9050	9100	0.0117999	9075.0
NC_001421.2	9100	9150	0.0423002	9125.0
NC_001421.2	9150	9200	0.0210007	9175.0
NC_001421.2	9200	9250	0.0260642	9225.0
NC_001421.2	9250	9300	0.018596	9275.0
NC_001421.2	9300	9350	0.0122778	9325.0
NC_001421.2	9350	9400	0.0468111	9375.0
NC_001421.2	9400	9450	0.0183869	9425.0
NC_001421.2	9450	9500	0.0807468	9475.0
NC_001421.2	9500	9550	0.0313667	9525.0
NC_001421.2	9550	9600	0.0313816	9575.0
NC_001421.2	9600	9650	0.0199104	9625.0
NC_001421.2	9650	9700	0.0643017	9675.0
NC_001421.2	9700	9750	0.0445855	9725.0
NC_001421.2	9750	9800	0.0399701	9775.0
NC_001421.2	9800	9850	0.0405676	9825.0
NC_001421.2	9850	9900	0.0500971	9875.0
NC_001421.2	9900	9950	0.029649	9925.0
NC_001421.2	9950	10000	0.0328454	9975.0
NC_001421.2	10000	10050	0.00652726	10025.0
NC_001421.2	10050	10100	0.07177	10075.0
NC_001421.2	10100	10150	0.0358327	10125.0
NC_001421.2	10150	10200	0.0541449	10175.0
NC_001421.2	10200	10250	0.0438984	10225.0
NC_001421.2	10250	10300	0.0610157	10275.0
NC_001421.2	10300	10350	0.0357879	10325.0
NC_001421.2	10350	10400	0.0173712	10375.0
NC_001421.2	10400	10450	0.0394473	10425.0
NC_001421.2	10450	10500	0.0364003	10475.0
NC_001421.2	10500	10550	0.0430769	10525.0
NC_001421.2	10550	10600	0.0354593	10575.0
NC_001421.2	10600	10650	0.0591934	10625.0
NC_001421.2	10650	10700	0.0686781	10675.0
NC_001421.2	10700	10750	0.0801643	10725.0
NC_001421.2	10750	10800	0.0772069	10775.0
NC_001421.2	10800	10850	0.0164451	10825.0
NC_001421.2	10850	10900	0.0314712	10875.0
NC_001421.2	10900	10950	0.0605228	10925.0
NC_001421.2	10950	11000	0.0560866	10975.0
NC_001421.2	11000	11050	0.132099	11025.0
NC_001421.2	11050	11100	0.142704	11075.0
NC_001421.2	11100	11150	0.139268	11125.0
NC_001421.2	11150	11200	0.130874	11175.0
NC_001421.2	11200	11250	0.0515161	11225.0
NC_001421.2	11250	11300	0.0723226	11275.0
NC_001421.2	11300	11350	0.184645	11325.0
NC_001421.2	11350	11400	0.0887528	11375.0
NC_001421.2	11400	11450	0.176983	11425.0
NC_001421.2	11450	11500	0.0452726	11475.0
NC_001421.2	11500	11550	0.101434	11525.0
NC_001421.2	11550	11600	0.0315011	11575.0
NC_001421.2	11600	11650	0.06823	11625.0
NC_001421.2	11650	11700	0.0272143	11675.0
NC_001421.2	11700	11750	0.0501718	11725.0
NC_001421.2	11750	11800	0.0535026	11775.0
NC_001421.2	11800	11850	0.0325765	11825.0
NC_001421.2	11850	11900	0.0483495	11875.0
